VOCAB count: 680
1 приве́т | 你好(非正式)
272 ухищре́ние | 诡计 / 花招
273 обыва́тельский | 庸俗的 / 市侩的
274 как | 怎样 / 如何
275 когда́ | 什么时候
276 почему́ | 为什么
277 ско́лько | 多少
278 куда́ | 去哪里
279 отку́да | 从哪里
280 чей | 谁的
281 сто | 一百
282 ты́сяча | 一千
283 миллио́н | 一百万
284 сын | 儿子
285 дочь | 女儿
286 де́душка | 爷爷 / 外公
287 ба́бушка | 奶奶 / 外婆
288 ма́льчик | 男孩
289 де́вочка | 女孩
290 муж | 丈夫
291 жена́ | 妻子
292 роди́тели | 父母
293 идти́ | 走 / 步行去
294 е́хать | 乘车去
295 смотре́ть | 看 / 观看
296 слу́шать | 听
297 понима́ть | 明白 / 理解
298 ду́мать | 想 / 思考
299 по́мнить | 记得
300 спра́шивать | 询问
301 отвеча́ть | 回答
302 ждать | 等待
303 помога́ть | 帮助
304 дава́ть | 给
305 брать | 拿 / 取
306 находи́ть | 找到
307 покупа́ть | 买
308 плати́ть | 付款
309 игра́ть | 玩 / 演奏
310 спать | 睡觉
311 начина́ть | 开始
312 открыва́ть | 打开
313 закрыва́ть | 关闭
314 ви́деть | 看见
315 слы́шать | 听见
316 гуля́ть | 散步
317 отдыха́ть | 休息
318 рисова́ть | 画画
319 петь | 唱歌
320 танцева́ть | 跳舞
321 пла́вать | 游泳
322 бе́гать | 跑步
323 де́ньги | 钱
324 жизнь | 生活 / 生命
325 и́мя | 名字
326 час | 小时
327 мину́та | 分钟
328 год | 年
329 неде́ля | 星期
330 ме́сяц | 月份
331 страна́ | 国家
332 исто́рия | 历史 / 故事
333 вопро́с | 问题
334 отве́т | 答案
335 де́ло | 事情
336 ме́сто | 地方
337 вещь | 东西
338 ко́мната | 房间
339 магази́н | 商店
340 больни́ца | 医院
341 апте́ка | 药店
342 банк | 银行
343 рестора́н | 餐厅
344 кафе́ | 咖啡馆
345 парк | 公园
346 музе́й | 博物馆
347 вокза́л | 火车站
348 аэропо́рт | 机场
349 метро́ | 地铁
350 це́рковь | 教堂
351 ры́нок | 市场
352 пло́щадь | 广场
353 остано́вка | 公交站
354 гости́ница | 宾馆
355 библио́тека | 图书馆
356 стул | 椅子
357 крова́ть | 床
358 дверь | 门
359 дива́н | 沙发
360 зе́ркало | 镜子
361 часы́ | 钟表
362 ла́мпа | 灯
363 телеви́зор | 电视
364 ключ | 钥匙
365 ку́хня | 厨房
366 ва́нная | 浴室
367 шкаф | 柜子
368 ру́чка | 钢笔 / 圆珠笔
369 каранда́ш | 铅笔
370 тетра́дь | 练习本
371 слова́рь | 词典
372 уро́к | 课
373 экза́мен | 考试
374 университе́т | 大学
375 огуре́ц | 黄瓜
376 лук | 洋葱
377 чесно́к | 大蒜
378 пи́цца | 披萨
379 торт | 蛋糕
380 моро́женое | 冰淇淋
381 пи́во | 啤酒
382 вино́ | 葡萄酒
383 борщ | 红菜汤(俄式)
384 блины́ | 俄式薄饼
385 пельме́ни | 俄式饺子
386 за́втрак | 早餐
387 обе́д | 午餐
388 у́жин | 晚餐
389 ма́сло | 黄油 / 油
390 лицо́ | 脸
391 во́лосы | 头发
392 па́лец | 手指
393 спина́ | 背
394 ше́я | 脖子
395 коле́но | 膝盖
396 плечо́ | 肩膀
397 ю́бка | 裙子
398 сви́тер | 毛衣
399 перча́тки | 手套
400 шарф | 围巾
401 плащ | 风衣 / 雨衣
402 костю́м | 西装
403 боти́нки | 皮鞋
404 футбо́лка | T恤
405 о́бувь | 鞋(总称)
406 не́бо | 天空
407 луна́ | 月亮
408 звезда́ | 星星
409 о́блако | 云
410 тума́н | 雾
411 гроза́ | 雷雨
412 ра́дуга | 彩虹
413 температу́ра | 温度
414 ва́жный | 重要的
415 тру́дный | 困难的
416 лёгкий | 轻的 / 容易的
417 высо́кий | 高的
418 ни́зкий | 矮的
419 дли́нный | 长的
420 коро́ткий | 短的
421 до́брый | 善良的
422 злой | 凶恶的
423 весёлый | 快乐的
424 гру́стный | 悲伤的
425 интере́сный | 有趣的
426 ску́чный | 无聊的
427 дорого́й | 贵的 / 亲爱的
428 дешёвый | 便宜的
429 тёплый | 温暖的
430 холо́дный | 冷的
431 горя́чий | 热的
432 моло́дой | 年轻的
433 си́льный | 强壮的
434 сла́бый | 虚弱的
435 у́мный | 聪明的
436 глу́пый | 愚蠢的
437 свобо́дный | 自由的 / 空闲的
438 за́нятый | 忙碌的
439 голо́дный | 饥饿的
440 уста́лый | 疲惫的
441 ти́хий | 安静的
442 гро́мкий | 大声的
443 вку́сный | 美味的
444 бли́зкий | 近的
445 далёкий | 远的
446 сего́дня | 今天
447 за́втра | 明天
448 вчера́ | 昨天
449 сейча́с | 现在
450 пото́м | 然后 / 以后
451 уже́ | 已经
452 ещё | 还 / 再
453 то́же | 也
454 здесь | 这里
455 там | 那里
456 до́ма | 在家
457 вме́сте | 一起
458 никогда́ | 从不
459 иногда́ | 有时
460 ча́сто | 经常
461 ре́дко | 很少
462 коне́чно | 当然
463 почти́ | 几乎
464 забыва́ть | 忘记
465 уходи́ть | 离开
466 приезжа́ть | 到达(乘车来)
467 встреча́ть | 迎接 / 遇见
468 наде́яться | 希望
469 замеча́ть | 注意到
470 по́льзоваться | 使用
471 станови́ться | 变得
472 оставля́ть | 留下
473 выбира́ть | 选择
474 приноси́ть | 带来
475 возвраща́ться | 返回
476 отправля́ться | 出发
477 чу́вствовать | 感觉
478 сообща́ть | 通知
479 обсужда́ть | 讨论
480 реша́ть | 决定 / 解决
481 продолжа́ть | 继续
482 защища́ть | 保护
483 появля́ться | 出现
484 исчеза́ть | 消失
485 соглаша́ться | 同意
486 отка́зываться | 拒绝
487 разреша́ть | 允许
488 запреща́ть | 禁止
489 стро́ить | 建造
490 заменя́ть | 替换
491 де́йствовать | 行动 / 起作用
492 дыша́ть | 呼吸
493 снима́ть | 拍摄 / 租
494 напи́ток | 饮料
495 о́вощ | 蔬菜
496 фрукт | 水果
497 прогу́лка | 散步
498 пое́здка | 出行 / 旅行
499 но́вость | 消息 / 新闻
500 газе́та | 报纸
501 журна́л | 杂志
502 пе́сня | 歌曲
503 расска́з | 故事 / 短篇小说
504 фо́то | 照片
505 су́мка | 包
506 зонт | 伞
507 очки́ | 眼镜
508 ле́стница | 楼梯
509 кры́ша | 屋顶
510 стена́ | 墙
511 сад | 花园
512 мост | 桥
513 зда́ние | 建筑物
514 о́фис | 办公室
515 дере́вня | 乡村
516 столи́ца | 首都
517 те́ма | 主题
518 причи́на | 原因
519 цель | 目标
520 зада́ча | 任务
521 мечта́ | 梦想
522 пра́вда | 真相
523 сча́стье | 幸福
524 бы́стрый | 快的
525 ме́дленный | 慢的
526 бога́тый | 富有的
527 бе́дный | 贫穷的
528 знамени́тый | 著名的
529 сухо́й | 干的
530 мо́крый | 湿的
531 мя́гкий | 柔软的
532 твёрдый | 坚硬的
533 о́стрый | 辣的 / 尖锐的
534 гото́вый | 准备好的
535 пра́вильный | 正确的
536 непра́вильный | 错误的
537 основно́й | 主要的
538 сле́дующий | 下一个的
539 про́шлый | 过去的
540 бу́дущий | 未来的
541 све́жий | 新鲜的
542 тёмный | 黑暗的
543 све́тлый | 明亮的
544 вдруг | 突然
545 сно́ва | 再次
546 опя́ть | 又 / 再
547 совсе́м | 完全
548 сли́шком | 太 / 过于
549 доста́точно | 足够
550 осо́бенно | 特别
551 то́чно | 准确地
552 про́сто | 简单地
553 тру́дно | 困难地
554 легко́ | 容易地
555 интере́сно | 有趣地
556 ря́дом | 在旁边
557 пешко́м | 步行
558 по́слезавтра | 后天
559 свини́на | 猪肉
560 говя́дина | 牛肉
561 колбаса́ | 香肠
562 креве́тка | 虾
563 капу́ста | 卷心菜
564 морко́вь | 胡萝卜
565 пе́рец | 辣椒 / 胡椒
566 горо́х | 豌豆
567 лимо́н | 柠檬
568 апельси́н | 橙子
569 виногра́д | 葡萄
570 клубни́ка | 草莓
571 арбу́з | 西瓜
572 пе́рсик | 桃子
573 ви́шня | 樱桃
574 гриб | 蘑菇
575 пече́нье | 饼干
576 конфе́та | 糖果
577 шокола́д | 巧克力
578 мёд | 蜂蜜
579 теа́тр | 剧院
580 кинотеа́тр | 电影院
581 стадио́н | 体育场
582 суд | 法院
583 прави́тельство | 政府
584 порт | 港口
585 водопа́д | 瀑布
586 о́стров | 岛屿
587 пляж | 海滩
588 вы́ставка | 展览
589 конце́рт | 音乐会
590 зоопа́рк | 动物园
591 суперма́ркет | 超市
592 двор | 院子
593 заво́д | 工厂
594 юри́ст | 律师
595 журнали́ст | 记者
596 писа́тель | 作家
597 худо́жник | 画家
598 музыка́нт | 音乐家
599 певе́ц | 歌手
600 спортсме́н | 运动员
601 перево́дчик | 翻译
602 программи́ст | 程序员
603 медсестра́ | 护士
604 полице́йский | 警察
605 дире́ктор | 经理 / 厂长
606 вы́бор | 选择
607 реше́ние | 决定
608 мне́ние | 意见
609 иде́я | 主意
610 возмо́жность | 可能性 / 机会
611 усло́вие | 条件
612 спо́соб | 方法
613 успе́х | 成功
614 неуда́ча | 失败
615 свобо́да | 自由
616 зако́н | 法律
617 внима́ние | 注意
618 дру́жба | 友谊
619 настрое́ние | 心情
620 разви́тие | 发展
621 по́лка | 架子
622 я́щик | 抽屉
623 што́ры | 窗帘
624 ковёр | 地毯
625 посте́ль | 床铺
626 душ | 淋浴
627 кран | 水龙头
628 ра́ковина | 洗手池
629 плита́ | 炉灶
630 холоди́льник | 冰箱
631 кондиционе́р | 空调
632 ве́шалка | 衣架
633 губа́ | 嘴唇
634 бровь | 眉毛
635 лоб | 额头
636 щека́ | 脸颊
637 го́рло | 喉咙
638 грудь | 胸
639 но́готь | 指甲
640 ко́жа | 皮肤
641 прохла́дно | 凉快
642 па́смурно | 阴天
643 со́лнечно | 晴朗
644 гром | 雷
645 мо́лния | 闪电
646 ли́вень | 暴雨
647 трамва́й | 有轨电车
648 тролле́йбус | 无轨电车
649 грузови́к | 卡车
650 мотоци́кл | 摩托车
651 кора́бль | 轮船
652 ло́дка | 小船
653 тротуа́р | 人行道
654 запра́вка | 加油站
655 джи́нсы | 牛仔裤
656 ма́йка | 背心
657 та́пки | 拖鞋
658 сапоги́ | 靴子
659 реме́нь | 腰带
660 га́лстук | 领带
661 тигр | 老虎
662 слон | 大象
663 обезья́на | 猴子
664 змея́ | 蛇
665 лягу́шка | 青蛙
666 овца́ | 绵羊
667 у́тка | 鸭子
668 лиса́ | 狐狸
669 како́й | 哪一个 / 什么样的
670 кото́рый | 哪个 / 第几个
671 никто́ | 没有人
672 кто-то | 某人
673 что-то | 某物
674 себя́ | 自己
675 Ско́лько сто́ит? | 多少钱?
676 Я не понима́ю. | 我不明白。
677 Я не зна́ю. | 我不知道。
678 Повтори́те, пожа́луйста. | 请再说一遍。
679 До встре́чи! | 回头见!
680 С днём рожде́ния! | 生日快乐!
